#{"t_start": 1614890034.0310314, "env_id": null}
r,l,t
-2.730432,7,27347.250971
-2.745911,7,27386.385502
-2.748411,7,27427.060781
-2.745381,7,27466.045954
-2.749026,7,27503.564392
-2.737401,7,27542.395715
-2.742634,7,27580.718307
-2.75076,7,27622.037041
-2.746818,7,27661.464153
-3.258368,8,27707.638244
-3.344078,7,27746.991889
-3.810861,8,27794.037315
-4.741832,10,27852.920826
-3.802851,8,27902.206986
-4.77479,10,27956.592462
-3.744961,8,28003.957345
-3.322252,7,28042.289964
-3.815169,8,28088.572362
-3.3329,7,28126.322971
-3.793335,8,28170.213619
-3.818497,8,28215.118351
-3.812046,8,28260.716473
-4.698775,10,28316.528655
-2.737033,7,28355.448896
-2.746423,7,28392.338423
-2.752326,7,28434.410402
-3.040076,7,28477.442676
-2.74446,7,28519.878489
-2.959572,8,28563.736856
-2.756355,7,28603.766639
-2.750911,7,28642.137865
-2.750908,7,28680.785003
-2.708083,7,28719.571792
-2.741937,7,28756.778878
-2.745049,7,28796.129767
-2.823607,7,28835.467423
-3.456083,8,28877.939322
-2.732452,7,28914.870242
-2.759878,7,28954.677592
-15.810304,36,29160.646393
-4.794277,10,29217.382024
-4.262138,9,29265.941
-3.649873,9,29314.614559
-3.659185,9,29363.757289
-4.196186,10,29420.083586
-5.769599,12,29485.222115
-4.187067,9,29532.621958
-3.31013,8,29578.057997
-2.729229,7,29618.225109
-2.736759,7,29659.414643
-2.741334,7,29702.376861
-2.746021,7,29745.820271
-2.746341,7,29784.788653
-2.751632,7,29824.645467
-2.651896,7,29866.431674
-2.726681,7,29906.467197
-2.732065,7,29944.554807
-2.749259,7,29986.544184
-2.983884,7,30024.769138
-2.729675,7,30062.416836
-2.749596,7,30100.601111
-2.73138,7,30138.232846
-2.73252,7,30176.92468
-2.723085,7,30216.801069
-2.719656,7,30258.405156
-2.699784,7,30299.986205
-3.377031,8,30346.63571
-5.778635,12,30412.13887
-3.84575,8,30456.277349
-3.810033,8,30502.981679
-4.314601,9,30551.431626
-4.28259,9,30599.838114
-3.807294,8,30643.601208
-3.80514,8,30687.94228
-3.834608,8,30731.909348
-3.830581,8,30777.725065
-3.888295,9,30827.086943
-2.733282,7,30869.138153
-2.736267,7,30917.926011
-1.145688,5,30945.130538
-3.207057,8,30988.947213
-3.213109,8,31033.247449
-3.200922,8,31076.497063
-3.213109,8,31120.797897
-3.187653,8,31163.449759
-3.198446,8,31207.798352
-3.881955,9,31257.461908
-2.73546,7,31296.744741
-2.751375,7,31335.574708
-2.746707,7,31375.481163
-3.097218,8,31420.046393
-3.128836,8,31464.302443
-0.506809,5,31494.895468
-2.754689,8,31545.975423
-2.731748,7,31585.231343
-2.722891,7,31623.051859
-2.732435,7,31662.488833
-2.738207,7,31700.914931
-2.720466,7,31739.474591
-1.335815,7,31778.580356
-2.748106,7,31816.84315
-2.706941,7,31856.758074
-2.749879,7,31895.599088
-3.631098,9,31947.295654
-4.77469,10,32005.449017
-4.293983,9,32056.156218
-2.363014,5,32086.206713
-2.367045,5,32118.463583
-2.357669,5,32147.912119
-2.370174,5,32175.104054
-2.366347,5,32202.850866
-2.020912,5,32230.772356
-1.817407,5,32260.009646
-1.80894,5,32287.959625
-1.806592,5,32316.004708
-1.810951,5,32344.970436
-1.802273,5,32374.509287
-2.219322,6,32407.585914
-2.432618,7,32446.255106
-2.186563,6,32479.860195
-1.828307,5,32507.172188
-2.998686,7,32548.62958
-3.811645,8,32594.193792
-4.208888,9,32643.598668
-2.72509,7,32683.882028
-2.833191,8,32735.848489
-5.206797,11,32796.897229
-4.776175,10,32853.563572
-4.291653,9,32902.563655
-6.17088,13,32976.269196
-3.790973,8,33020.582433
-1.817696,5,33048.59286
-3.803869,9,33097.522249
-4.183323,9,33146.60869
-2.355026,5,33174.606609
-2.364993,5,33204.402901
-3.263689,7,33242.449747
-3.145974,9,33296.210692
-2.851906,7,33342.571346
-1.808729,5,33371.666198
-1.804409,5,33400.874015
-1.810787,5,33429.541552
-2.107028,6,33462.143371
-1.815434,5,33490.513142
-1.814323,5,33518.158498
-1.819629,5,33547.699231
-1.819629,5,33576.019243
-1.811898,5,33603.453455
-1.81383,5,33631.103857
-2.734038,7,33670.177372
-2.735395,7,33708.184921
-2.739087,7,33746.448706
-2.900708,7,33788.704005
-4.754065,10,33845.350202
-3.327377,7,33887.607819
-3.337235,7,33931.828675
-3.808559,8,33980.40574
-4.746435,10,34035.902072
-4.800028,10,34091.676682
-3.167333,7,34129.462455
-3.244005,7,34169.023121
-1.806507,5,34197.663481
-2.158359,5,34227.691653
-1.77935,5,34255.782797
-1.809472,5,34283.627271
-1.817164,5,34313.09442
-1.820615,5,34341.433552
-1.814622,5,34368.70329
-1.812015,5,34399.535946
-1.866084,5,34427.568857
-2.034974,5,34457.572901
-1.801365,5,34488.777095
-1.824198,5,34517.743598
-1.815882,5,34554.138352
-2.172719,5,34583.116548
-2.91574,8,34629.464404
-1.819629,5,34657.876415
-1.804495,5,34688.599599
-1.810537,5,34719.073136
-1.570377,5,34747.641078
-1.81128,5,34775.438244
-1.806881,5,34803.65272
-1.809801,5,34830.68184
-1.817407,5,34861.797038
-1.819629,5,34890.969833
-1.818643,5,34919.790833
-1.91661,5,34948.090025
-2.036085,5,34978.161366
-1.823949,5,35008.017652
-1.798312,5,35037.570085
-1.822549,5,35069.069328
-1.815395,5,35099.056822
-1.820615,5,35129.911202
-1.824771,5,35165.903106
-1.818604,5,35195.47664
-1.823495,5,35222.743899
-1.824114,5,35249.738328
-1.824692,5,35276.761245
-1.819668,5,35306.066701
-1.820005,5,35334.367352
-1.79606,5,35363.468961
-1.787053,5,35390.898514
-2.100353,5,35419.166959
-1.810951,5,35447.014447
-1.396989,6,35481.379138
-1.817407,5,35510.968242
-1.811647,5,35539.261821
-1.817407,5,35565.813305
-1.824606,5,35592.843179
-1.828307,5,35620.402169
-1.826664,5,35650.790651
-1.56766,5,35680.94748
-1.812265,5,35714.119104
-1.81531,5,35748.129698
-1.81984,5,35776.923402
-1.817493,5,35803.868316
-1.826828,5,35831.88296
-1.828307,5,35859.747842
-1.825514,5,35886.313765
-1.852344,5,35914.686033
-2.361003,5,35942.769043
-2.256119,5,35971.970167
-1.813173,5,35999.678255
-2.164074,5,36027.475338
-1.818807,5,36056.027487
-1.819175,5,36084.004809
-2.375026,5,36114.419116
-2.846317,6,36149.257411
-2.371035,5,36177.246844
-2.3617,5,36206.992805
-2.021162,5,36236.989832
-2.225632,6,36271.60219
-1.824974,5,36304.131142
-1.826993,5,36332.598412
-1.819175,5,36366.37728
-1.822555,5,36393.011971
-1.818886,5,36422.598247
-2.985799,8,36469.326202
-1.816092,5,36497.482921
-3.492949,9,36547.317782
-2.303011,5,36575.025367
-2.304733,5,36604.219207
-2.306955,5,36634.252276
-2.308723,5,36664.105887
-2.300256,5,36691.786116
-2.126052,5,36720.48427
-1.70108,5,36749.691192
-1.82366,5,36777.620034
-1.818518,5,36806.429952
-1.811937,5,36833.585283
-1.814731,5,36862.431854
-2.375026,5,36896.068049
-2.365111,5,36928.08133
