{'time':'2021-02-18 16:12:26,681','message': {'state':'[[  2 150 300  77 256 514]]', 'action': '18', 'next_state': '[[  1 150 300  77 281 565]]', 'reward': '-0.35582159624413146'}}
{'time':'2021-02-18 16:12:31,893','message': {'state':'[[  1 150 300  77 281 565]]', 'action': '18', 'next_state': '[[  1 150 300  13 309 621]]', 'reward': '-0.47102564102564104'}}
{'time':'2021-02-18 16:12:37,191','message': {'state':'[[  1 150 300  13 309 621]]', 'action': '18', 'next_state': '[[  0 150 300  13 339 683]]', 'reward': '-0.47383720930232553'}}
{'time':'2021-02-18 16:12:43,306','message': {'state':'[[  0 150 300  13 339 683]]', 'action': '1', 'next_state': '[[  0 150 300  13 423 853]]', 'reward': '-0.4767441860465116'}}
{'time':'2021-02-18 16:12:48,488','message': {'state':'[[  0 150 300  13 423 853]]', 'action': '18', 'next_state': '[[  0 150 300  13 465 938]]', 'reward': '-0.4778012684989429'}}
{'time':'2021-02-18 16:12:53,725','message': {'state':'[[  0 150 300  13 465 938]]', 'action': '18', 'next_state': '[[   0  150  300   13  511 1031]]', 'reward': '-0.4788461538461538'}}
{'time':'2021-02-18 16:12:58,893','message': {'state':'[[   0  150  300   13  511 1031]]', 'action': '18', 'next_state': '[[   0  150  300   13  562 1134]]', 'reward': '-0.4798951048951049'}}
{'time':'2021-02-18 16:13:04,221','message': {'state':'[[   0  150  300   13  562 1134]]', 'action': '3', 'next_state': '[[  0 135 270  13 281 567]]', 'reward': '-0.46853146853146854'}}
{'time':'2021-02-18 16:13:09,392','message': {'state':'[[  0 135 270  13 281 567]]', 'action': '18', 'next_state': '[[  0 135 270  13 309 623]]', 'reward': '-0.4713375796178344'}}
{'time':'2021-02-18 16:13:21,915','message': {'state':'[[  0 135 270  13 309 623]]', 'action': '18', 'next_state': '[[  0 135 270  13 339 685]]', 'reward': '-0.4710982658959537'}}
{'time':'2021-02-18 16:13:27,089','message': {'state':'[[  0 135 270  13 339 685]]', 'action': '18', 'next_state': '[[  0 135 270  13 372 753]]', 'reward': '-0.47112860892388453'}}
